pgc,Name,RA,DE,GLong,GLat,SGL,SGB,Ty,B_t,K_t,lgL_K,Vhel,Vls,D_i,eDi,PGC1,PGC1+,Ng,gGLong,gGLat,gSGL,gSGB,gK_t,glgL_K,gVh,gVls,gND,gD,geD,gsigL,gsigV,gR2t,gRdyn,gMassL,gMassdyn,SGX,SGY,SGZ
35826,UGC06561,173.8613,33.3029,187.6825,72.4932,78.8357,-7.1867,8.0,14.77,13.03,9.15,2425,2412,0.00,0,35754,35754,6,187.8925,72.2892,78.7536,-7.3842,10.28,10.25,2511,2498,0,0.00,0,70,59,0.190,0.193,11.841,11.789,6.38,32.31,-4.15
35827,PGC035827,173.8255,58.8886,140.2856,55.6002,55.5748,3.5700,10.0,16.28,14.02,8.18,1031,1151,0.00,0,36505,34566,12,139.8747,56.4252,56.3742,3.8816,8.19,10.51,1182,1298,3,26.89,9,86,119,0.233,0.336,12.104,12.638,15.06,21.98,1.66
35833,NGC3742,173.8854,-37.9564,286.8180,22.5291,151.4658,-25.1188,2.0,12.24,8.75,10.89,2715,2425,39.81,23,36101,36101,9,287.0280,22.6638,151.3948,-24.8917,7.45,11.41,2880,2590,2,42.08,14,188,190,0.510,0.513,13.127,13.228,-33.30,18.11,-17.77
35852,UGC06566,173.9316,58.1924,140.8427,56.2249,56.2307,3.3269,8.8,,14.05,8.17,1233,1349,0.00,0,36505,34566,12,139.8747,56.4252,56.3742,3.8816,8.19,10.51,1182,1298,3,26.89,9,86,119,0.233,0.336,12.104,12.638,14.96,22.37,1.56
35854,UGC06569,173.9646,17.4478,238.0317,70.0532,93.7182,-13.2820,4.3,15.59,12.07,9.77,3353,3258,0.00,0,35968,36200,9,237.5751,70.4750,93.4827,-12.8960,9.28,10.89,3405,3312,0,0.00,0,119,76,0.322,0.257,12.526,12.134,-2.78,42.82,-10.13
35856,NGC3738,173.9497,54.5251,144.5567,59.3128,59.5632,1.7884,9.8,11.24,10.00,8.59,229,327,5.30,9,35856,47404,1,144.5567,59.3128,59.5632,1.7884,10.00,8.59,229,327,1,5.30,9,32,0,0.086,,10.801,,2.68,4.57,0.17
35859,UGC06570,173.9581,35.3353,181.2956,71.9174,77.0028,-6.2790,-0.2,14.10,10.89,9.62,1611,1609,0.00,0,35859,35064,2,181.2750,71.9823,77.0454,-6.2294,10.75,9.68,1623,1621,1,24.43,14,50,13,0.136,0.200,11.407,10.468,5.46,23.65,-2.67
35861,NGC3749,173.9718,-37.9974,286.9019,22.5114,151.5120,-25.0513,1.1,12.73,8.72,10.90,2702,2412,0.00,0,36101,36101,9,287.0280,22.6638,151.3948,-24.8917,7.45,11.41,2880,2590,2,42.08,14,188,190,0.510,0.513,13.127,13.228,-33.32,18.08,-17.72
35866,ESO571-007,173.9926,-20.7866,280.1335,38.7212,132.6761,-23.6016,8.0,16.75,14.39,8.85,3577,3325,0.00,0,35866,35866,1,280.1335,38.7212,132.6761,-23.6016,14.39,8.85,3577,3325,0,0.00,0,35,0,0.095,,10.930,,-27.54,29.87,-17.75
35869,NGC3735,173.9888,70.5356,131.7423,45.2795,44.9335,8.4416,5.3,11.16,8.51,11.06,2696,2869,40.93,14,35869,30019,3,131.7504,45.2790,44.9330,8.4359,8.48,11.07,2635,2807,1,40.93,14,139,6,0.377,0.155,12.733,9.766,28.66,28.59,6.01
35873,PGC035873,174.0106,32.3857,190.5624,72.8411,79.7316,-7.4461,9.0,16.70,14.35,8.68,2696,2679,0.00,0,35873,35873,1,190.5624,72.8411,79.7316,-7.4461,14.35,8.68,2696,2679,0,0.00,0,33,0,0.089,,10.844,,6.31,34.85,-4.63
35875,PGC035875,174.0137,17.3597,238.3230,70.0454,93.8200,-13.2706,4.1,15.87,12.93,9.43,3413,3318,0.00,0,35968,36200,9,237.5751,70.4750,93.4827,-12.8960,9.28,10.89,3405,3312,0,0.00,0,119,76,0.322,0.257,12.526,12.134,-2.86,42.89,-10.14
35878,NGC3741,174.0249,45.2856,157.5687,66.4449,67.9571,-2.0766,9.9,14.18,12.30,7.54,229,280,3.22,7,35878,39225,1,157.5687,66.4449,67.9571,-2.0766,12.30,7.54,229,280,1,3.22,7,21,0,0.057,,10.272,,1.21,2.98,-0.12
35883,NGC3740,174.0513,59.9765,139.1500,54.7194,54.6334,4.1307,4.0,14.30,11.22,10.14,3296,3421,0.00,0,35883,37386,1,139.1500,54.7194,54.6334,4.1307,11.22,10.14,3296,3421,0,0.00,0,66,0,0.178,,11.751,,26.33,37.10,3.29
35884,PGC035884,174.0639,22.4326,224.2094,72.3215,89.0216,-11.3317,2.9,14.32,11.32,10.12,3562,3493,0.00,0,35884,36005,1,224.2094,72.3215,89.0216,-11.3317,11.32,10.12,3562,3493,0,0.00,0,65,0,0.175,,11.733,,0.78,45.66,-9.15
35900,UGC06575,174.1103,58.1908,140.6991,56.2751,56.2718,3.4117,5.8,13.34,11.39,9.23,1217,1333,33.73,14,36505,34566,12,139.8747,56.4252,56.3742,3.8816,8.19,10.51,1182,1298,3,26.89,9,86,119,0.233,0.336,12.104,12.638,18.70,28.00,2.01
35904,ESO266-008,174.1199,-45.0618,289.2900,15.8153,159.3021,-24.8429,3.1,13.68,11.85,9.75,3223,2925,55.21,18,35904,35904,1,289.2900,15.8153,159.3021,-24.8429,11.85,9.75,3223,2925,1,55.21,18,52,0,0.142,,11.456,,-46.87,17.71,-23.20
35913,NGC3755,174.1390,36.4103,177.9547,71.6251,76.0784,-5.7027,5.2,13.00,11.04,9.55,1578,1582,32.06,14,35913,35913,2,177.9542,71.6265,76.0794,-5.7017,11.01,9.56,1587,1591,1,32.06,14,47,9,0.128,0.042,11.326,9.500,7.68,30.96,-3.19
35915,UGC06578,174.1534,0.8162,265.5151,58.1449,110.1181,-18.6050,-1.9,15.00,10.98,9.08,1079,906,15.35,18,35915,41220,1,265.5151,58.1449,110.1181,-18.6050,10.98,9.08,1079,906,1,15.35,18,38,0,0.104,,11.049,,-5.00,13.66,-4.90
35916,PGC035916,174.1430,59.4272,139.5573,55.2186,55.1531,3.9435,3.7,16.56,13.26,9.28,3133,3255,0.00,0,35916,35321,1,139.5573,55.2186,55.1531,3.9435,13.26,9.28,3133,3255,0,0.00,0,42,0,0.113,,11.158,,24.74,35.53,2.98
35930,NGC3764,174.2274,17.8886,237.3167,70.4991,93.3911,-12.8876,6.0,14.74,11.07,10.17,3432,3340,0.00,0,35968,36200,9,237.5751,70.4750,93.4827,-12.8960,9.28,10.89,3405,3312,0,0.00,0,119,76,0.322,0.257,12.526,12.134,-2.55,43.01,-9.86
35931,NGC3756,174.2007,54.2933,144.5763,59.5866,59.8350,1.8232,4.0,11.55,8.78,10.22,1285,1382,21.28,14,35616,37617,9,147.0661,59.7942,60.2676,0.6254,6.84,10.99,1119,1210,2,21.39,12,130,120,0.353,0.647,12.646,12.932,10.69,18.39,0.68
35954,ESO378-012,174.2604,-36.8153,286.7393,23.7061,150.2140,-24.7978,2.1,13.38,10.31,10.25,2847,2559,37.67,25,35954,43296,1,286.7393,23.7061,150.2140,-24.7978,10.31,10.25,2847,2559,1,37.67,25,71,0,0.192,,11.849,,-29.68,16.99,-15.80
35955,NGC3757,174.2622,58.4154,140.3690,56.1230,56.1007,3.5780,-2.1,13.32,9.70,9.91,1161,1278,0.00,0,36505,34566,12,139.8747,56.4252,56.3742,3.8816,8.19,10.51,1182,1298,3,26.89,9,86,119,0.233,0.336,12.104,12.638,14.95,22.25,1.68
35968,NGC3768,174.3102,17.8400,237.5647,70.5405,93.4670,-12.8321,-2.0,13.63,9.72,10.71,3473,3381,0.00,0,35968,36200,9,237.5751,70.4750,93.4827,-12.8960,9.28,10.89,3405,3312,0,0.00,0,119,76,0.322,0.257,12.526,12.134,-2.61,43.07,-9.83
35976,ESO320-013,174.3329,-38.0974,287.2281,22.5041,151.6273,-24.7685,3.8,14.83,12.74,9.29,3018,2728,0.00,0,36101,36101,9,287.0280,22.6638,151.3948,-24.8917,7.45,11.41,2880,2590,2,42.08,14,188,190,0.510,0.513,13.127,13.228,-33.77,18.24,-17.71
35977,UGC06593,174.3425,25.7412,213.5214,73.3762,86.0150,-9.8228,-2.0,14.34,11.13,10.12,3286,3234,0.00,0,35977,35977,2,213.5176,73.3723,86.0130,-9.8263,11.11,10.13,3270,3218,0,0.00,0,65,18,0.177,0.142,11.744,10.598,2.94,42.20,-7.32
35979,NGC3762,174.3491,61.7594,137.4658,53.2298,53.0660,5.0017,1.0,12.52,9.43,10.88,3463,3596,0.00,0,35979,35979,4,137.6422,53.1353,52.9787,4.8897,8.94,11.07,3359,3492,1,33.57,18,140,89,0.379,0.296,12.737,12.328,20.18,26.84,2.94
35991,UGC06594,174.4044,16.5562,240.8811,69.9097,94.7286,-13.2135,6.4,13.50,12.27,8.61,1046,947,20.99,14,35991,41220,1,240.8811,69.9097,94.7286,-13.2135,12.27,8.61,1046,947,1,20.99,14,32,0,0.086,,10.808,,-1.68,20.36,-4.80
35999,NGC3769,174.4338,47.8931,152.7219,64.7494,65.7078,-0.7268,3.4,11.70,9.35,9.80,717,782,14.00,21,36699,37617,18,148.9886,65.8225,66.3443,1.0567,6.59,10.90,900,969,7,16.79,6,120,87,0.325,0.359,12.539,12.394,6.80,15.07,-0.21
36000,UGC06596,174.4626,56.1421,142.3786,58.1207,58.2163,2.7311,9.9,15.26,12.79,9.22,2279,2386,38.37,18,36138,35321,2,141.9259,58.1227,58.1876,2.9684,9.00,10.74,2335,2442,1,38.37,18,104,59,0.282,0.166,12.354,11.726,20.15,32.52,1.82
36005,NGC3772,174.4518,22.6914,223.7814,72.7444,88.9166,-10.9019,1.0,13.78,10.35,10.51,3551,3484,0.00,0,36005,36005,2,223.7815,72.7434,88.9166,-10.9029,10.33,10.51,3551,3484,0,0.00,0,86,0,0.232,0.085,12.100,6.459,0.86,45.61,-8.79
36006,UGC06599,174.4271,24.1326,219.0467,73.1299,87.5523,-10.3731,9.9,15.69,14.17,8.25,1571,1511,0.00,0,36006,41220,1,219.0467,73.1299,87.5523,-10.3731,14.17,8.25,1571,1511,0,0.00,0,28,0,0.075,,10.631,,0.85,19.80,-3.63
36008,NGC3769A,174.4595,47.8818,152.7090,64.7693,65.7253,-0.7159,8.9,13.93,13.48,8.14,786,851,0.00,0,36699,37617,18,148.9886,65.8225,66.3443,1.0567,6.59,10.90,900,969,7,16.79,6,120,87,0.325,0.359,12.539,12.394,6.84,15.16,-0.21
36014,ESO320-014,174.4716,-39.2206,287.7075,21.4670,152.8652,-24.6752,10.0,14.95,12.90,7.52,654,363,6.00,9,36014,34554,1,287.7075,21.4670,152.8652,-24.6752,12.90,7.52,654,363,1,6.00,9,21,0,0.057,,10.265,,-4.85,2.49,-2.50
36029,UGC06603,174.5089,35.2037,181.1447,72.3836,77.3085,-5.9226,5.9,13.61,13.01,8.78,1635,1633,24.43,14,35859,35064,2,181.2750,71.9823,77.0454,-6.2294,10.75,9.68,1623,1621,1,24.43,14,50,13,0.136,0.200,11.407,10.468,5.34,23.71,-2.52
36031,PGC036031,174.4965,-5.6230,271.7419,52.7429,116.7830,-20.0291,-1.0,15.00,11.98,9.34,2135,1936,0.00,0,36031,36031,1,271.7419,52.7429,116.7830,-20.0291,11.98,9.34,2135,1936,0,0.00,0,43,0,0.116,,11.193,,-10.93,21.65,-8.84
36033,ESO439-019,174.5235,-32.5600,285.4875,27.8152,145.5494,-24.3901,-1.5,14.45,10.71,10.37,3779,3499,0.00,0,36033,36033,1,285.4875,27.8152,145.5494,-24.3901,10.71,10.37,3779,3499,0,0.00,0,77,0,0.207,,11.953,,-35.04,24.04,-19.27
36037,UGC06604,174.5355,58.7583,139.8397,55.8987,55.8471,3.8497,-4.3,13.86,10.34,9.65,1251,1370,0.00,0,36505,34566,12,139.8747,56.4252,56.3742,3.8816,8.19,10.51,1182,1298,3,26.89,9,86,119,0.233,0.336,12.104,12.638,15.12,22.28,1.81
36043,NGC3773,174.5542,12.1122,250.5368,67.1936,99.0682,-14.6387,-2.0,13.37,11.00,9.00,982,862,0.00,0,36243,41220,4,252.8397,67.2216,99.8908,-14.2362,7.96,10.22,951,830,1,15.92,14,69,38,0.187,0.213,11.816,11.446,-2.43,15.25,-4.03
36060,UGC06607,174.6045,20.7403,229.9740,72.1575,90.8140,-11.5041,6.4,14.27,12.32,9.67,3359,3282,53.21,18,36060,36060,1,229.9740,72.1575,90.8140,-11.5041,12.32,9.67,3359,3282,1,53.21,18,50,0,0.135,,11.396,,-0.74,52.14,-10.61
36066,PGC036066,174.6486,57.8742,140.5482,56.6928,56.6788,3.5396,9.0,15.55,14.29,8.07,989,1104,0.00,0,36505,34566,12,139.8747,56.4252,56.3742,3.8816,8.19,10.51,1182,1298,3,26.89,9,86,119,0.233,0.336,12.104,12.638,14.60,22.21,1.64
36079,UGC06610,174.6832,33.8047,185.3909,73.0025,78.6538,-6.3569,5.9,13.79,13.00,8.89,1851,1842,32.06,14,36079,36079,1,185.3909,73.0025,78.6538,-6.3569,13.00,8.89,1851,1842,1,32.06,14,36,0,0.096,,10.951,,6.27,31.24,-3.55
36084,NGC3779,174.7140,-10.5835,275.4847,48.3822,121.9815,-21.0038,6.7,13.69,11.60,9.26,1700,1483,0.00,0,36084,36084,1,275.4847,48.3822,121.9815,-21.0038,11.60,9.26,1700,1483,0,0.00,0,41,0,0.112,,11.146,,-9.78,15.66,-7.09
36086,UGC06611,174.7146,43.1656,160.7348,68.2489,70.0917,-2.5119,3.3,14.67,13.14,8.45,1140,1181,0.00,0,36086,37617,1,160.7348,68.2489,70.0917,-2.5119,13.14,8.45,1140,1181,0,0.00,0,30,0,0.081,,10.730,,5.36,14.79,-0.69
36101,NGC3783,174.7570,-37.7385,287.4559,22.9476,151.2403,-24.4264,1.4,11.81,8.66,10.92,2817,2528,0.00,0,36101,36101,9,287.0280,22.6638,151.3948,-24.8917,7.45,11.41,2880,2590,2,42.08,14,188,190,0.510,0.513,13.127,13.228,-33.52,18.40,-17.37
36117,ESO216-027,174.7917,-50.6689,291.3970,10.5772,165.4218,-24.0594,3.1,14.07,11.48,9.99,3546,3245,0.00,0,36117,36117,1,291.3970,10.5772,165.4218,-24.0594,11.48,9.99,3546,3245,0,0.00,0,60,0,0.162,,11.631,,-38.24,9.95,-17.64
36136,NGC3782,174.8364,46.5133,154.4430,65.9594,67.0768,-1.0511,6.5,12.50,10.99,9.02,739,797,0.00,0,36188,36188,7,154.7819,66.2285,67.3754,-1.0970,9.95,9.44,789,846,0,0.00,0,45,67,0.121,0.072,11.250,11.470,4.37,10.33,-0.21
36137,NGC3795A,174.8372,58.2682,140.0329,56.4021,56.3598,3.7922,6.4,13.95,10.64,9.53,1164,1281,24.21,18,36505,34566,12,139.8747,56.4252,56.3742,3.8816,8.19,10.51,1182,1298,3,26.89,9,86,119,0.233,0.336,12.104,12.638,14.85,22.32,1.78
36138,NGC3780,174.8432,56.2707,141.9095,58.1228,58.1865,2.9770,5.2,11.91,9.03,10.72,2391,2498,0.00,0,36138,35321,2,141.9259,58.1227,58.1876,2.9684,9.00,10.74,2335,2442,1,38.37,18,104,59,0.282,0.166,12.354,11.726,20.24,32.62,2.00
36158,NGC3786,174.9269,31.9077,191.5905,73.7029,80.4868,-6.9277,1.1,13.07,9.45,10.64,2678,2660,0.00,0,36160,36160,3,191.6177,73.7025,80.4928,-6.9325,8.62,10.97,2697,2677,1,61.94,25,128,14,0.346,0.481,12.619,10.961,10.16,60.62,-7.47
36160,NGC3788,174.9369,31.9297,191.5071,73.7065,80.4698,-6.9111,2.3,12.67,9.41,10.65,2699,2681,61.94,25,36160,36160,3,191.6177,73.7025,80.4928,-6.9325,8.62,10.97,2697,2677,1,61.94,25,128,14,0.346,0.481,12.619,10.961,10.18,60.65,-7.45
36167,NGC3790,174.9468,17.7122,238.8763,70.9845,93.8144,-12.3135,-0.1,14.29,10.68,10.33,3377,3285,0.00,0,36200,36200,20,239.3680,70.8975,93.9936,-12.3654,7.87,11.45,3401,3308,0,0.00,0,196,142,0.530,0.422,13.176,12.890,-2.86,42.97,-9.40
36168,PGC036168,174.9570,16.9804,240.7422,70.5861,94.5173,-12.5675,4.2,15.40,12.51,9.60,3195,3100,0.00,0,36200,36200,20,239.3680,70.8975,93.9936,-12.3654,7.87,11.45,3401,3308,0,0.00,0,196,142,0.530,0.422,13.176,12.890,-3.37,42.65,-9.54
36174,IC0718,174.9700,8.8746,256.7705,65.1163,102.3681,-15.3369,9.8,13.86,11.88,9.34,1983,1849,21.28,25,36174,41220,1,256.7705,65.1163,102.3681,-15.3369,11.88,9.34,1983,1849,1,21.28,25,43,0,0.116,,11.193,,-4.40,20.05,-5.63
36176,UGC06627,174.9813,13.4673,248.6611,68.4217,97.9031,-13.7816,8.0,14.86,12.70,9.55,3552,3440,0.00,0,36176,36200,1,248.6611,68.4217,97.9031,-13.7816,12.70,9.55,3552,3440,0,0.00,0,47,0,0.128,,11.322,,-6.12,44.12,-10.93
36178,PGC036178,174.9756,17.8820,238.4818,71.0993,93.6624,-12.2266,4.7,15.44,12.26,9.70,3091,3000,0.00,0,36200,36200,20,239.3680,70.8975,93.9936,-12.3654,7.87,11.45,3401,3308,0,0.00,0,196,142,0.530,0.422,13.176,12.890,-2.73,42.62,-9.25
36181,PGC036181,174.9846,16.9550,240.8502,70.5934,94.5513,-12.5519,-1.0,14.71,12.22,9.71,3187,3092,0.00,0,36200,36200,20,239.3680,70.8975,93.9936,-12.3654,7.87,11.45,3401,3308,0,0.00,0,196,142,0.530,0.422,13.176,12.890,-3.39,42.64,-9.52
36188,UGC06628,175.0278,45.9429,155.1626,66.4679,67.6512,-1.1652,8.8,12.97,10.69,9.14,850,905,0.00,0,36188,36188,7,154.7819,66.2285,67.3754,-1.0970,9.95,9.44,789,846,0,0.00,0,45,67,0.121,0.072,11.250,11.470,4.32,10.50,-0.23
36192,NGC3795,175.0283,58.6132,139.5696,56.1514,56.0848,4.0240,3.7,13.06,10.78,9.48,1204,1323,24.77,14,36505,34566,12,139.8747,56.4252,56.3742,3.8816,8.19,10.51,1182,1298,3,26.89,9,86,119,0.233,0.336,12.104,12.638,13.79,20.50,1.74
36193,NGC3799,175.0391,15.3273,244.7896,69.6658,96.1309,-13.0807,3.0,13.85,11.22,10.07,3318,3215,0.00,0,36197,36200,6,244.5534,69.9026,95.9773,-12.8797,8.78,11.05,3254,3153,0,0.00,0,137,28,0.370,0.523,12.708,11.588,-4.38,40.80,-9.53
36194,PGC036194,175.0669,17.4572,239.7227,70.9406,94.1001,-12.2984,-4.0,14.57,10.90,10.24,3133,3040,0.00,0,36200,36200,20,239.3680,70.8975,93.9936,-12.3654,7.87,11.45,3401,3308,0,0.00,0,196,142,0.530,0.422,13.176,12.890,-3.06,42.64,-9.32
36195,UGC06631,175.0487,17.3123,240.0612,70.8455,94.2322,-12.3667,2.0,13.98,10.89,10.24,3528,3435,0.00,0,36200,36200,20,239.3680,70.8975,93.9936,-12.3654,7.87,11.45,3401,3308,0,0.00,0,196,142,0.530,0.422,13.176,12.890,-3.19,43.13,-9.48
36197,NGC3800,175.0556,15.3435,244.7817,69.6882,96.1212,-13.0601,3.1,13.13,9.37,10.81,3312,3209,0.00,0,36197,36200,6,244.5534,69.9026,95.9773,-12.8797,8.78,11.05,3254,3153,0,0.00,0,137,28,0.370,0.523,12.708,11.588,-4.37,40.79,-9.52
36200,NGC3801,175.0702,17.7280,239.0322,71.0918,93.8427,-12.1981,-1.7,12.98,8.99,11.00,3473,3382,0.00,0,36200,36200,20,239.3680,70.8975,93.9936,-12.3654,7.87,11.45,3401,3308,0,0.00,0,196,142,0.530,0.422,13.176,12.890,-2.89,43.11,-9.34
36203,NGC3802,175.0793,17.7660,238.9478,71.1196,93.8095,-12.1765,3.2,13.43,10.22,10.51,3321,3230,0.00,0,36200,36200,20,239.3680,70.8975,93.9936,-12.3654,7.87,11.45,3401,3308,0,0.00,0,196,142,0.530,0.422,13.176,12.890,-2.86,42.92,-9.28
36204,NGC3803,175.0720,17.8014,238.8446,71.1331,93.7733,-12.1701,6.3,16.10,14.30,8.88,3579,3488,0.00,0,36200,36200,20,239.3680,70.8975,93.9936,-12.3654,7.87,11.45,3401,3308,0,0.00,0,196,142,0.530,0.422,13.176,12.890,-2.85,43.26,-9.35
36205,IC0719,175.0771,9.0098,256.7527,65.2879,102.2716,-15.1927,-2.0,13.64,9.71,10.14,1833,1699,0.00,0,36205,41220,1,256.7527,65.2879,102.2716,-15.1927,9.71,10.14,1833,1699,0,0.00,0,66,0,0.177,,11.749,,-4.65,21.36,-5.94
36211,UGC06637,175.1036,28.3738,204.2759,74.2514,83.8257,-8.1751,-3.8,14.75,11.72,9.39,1839,1803,0.00,0,36211,36914,1,204.2759,74.2514,83.8257,-8.1751,11.72,9.39,1839,1803,0,0.00,0,44,0,0.118,,11.217,,2.56,23.66,-3.42
36214,PGC036214,175.1096,19.4142,234.5175,71.9881,92.2506,-11.5522,7.5,15.58,13.88,9.06,3421,3339,0.00,0,36214,36200,1,234.5175,71.9881,92.2506,-11.5522,13.88,9.06,3421,3339,0,0.00,0,38,0,0.102,,11.033,,-1.71,43.58,-8.92
36215,NGC3796,175.1298,60.2989,138.0666,54.6964,54.5593,4.7527,-4.0,13.19,10.07,9.82,1239,1366,0.00,0,36215,37617,2,138.0727,54.6973,54.5605,4.7492,10.05,9.83,1268,1395,0,0.00,0,54,30,0.148,0.060,11.509,10.697,10.73,15.07,1.54
36216,PGC036216,175.1337,58.6423,139.4582,56.1527,56.0804,4.0860,9.0,18.05,15.60,7.99,2032,2152,0.00,0,36216,34566,1,139.4582,56.1527,56.0804,4.0860,15.60,7.99,2032,2152,0,0.00,0,25,0,0.068,,10.498,,15.97,23.75,2.04
36217,PGC036217,175.1442,-10.0858,275.7550,49.0106,121.5650,-20.4794,5.9,13.64,11.66,9.29,1778,1563,0.00,0,36217,36217,1,275.7550,49.0106,121.5650,-20.4794,11.66,9.29,1778,1563,0,0.00,0,42,0,0.113,,11.158,,-10.22,16.63,-7.29
36231,NGC3806,175.1943,17.7961,239.0541,71.2280,93.8211,-12.0634,3.0,13.91,11.44,10.03,3489,3398,0.00,0,36200,36200,20,239.3680,70.8975,93.9936,-12.3654,7.87,11.45,3401,3308,0,0.00,0,196,142,0.530,0.422,13.176,12.890,-2.88,43.15,-9.24
36232,PGC036232,175.2044,35.2029,180.4101,72.9078,77.5393,-5.4028,7.8,14.11,12.29,9.01,1521,1520,26.06,18,36232,36232,1,180.4101,72.9078,77.5393,-5.4028,12.29,9.01,1521,1520,1,26.06,18,37,0,0.101,,11.009,,5.60,25.33,-2.45
36238,NGC3794,175.2252,56.2022,141.6319,58.2912,58.3359,3.1429,6.3,13.20,11.59,9.27,1382,1489,21.78,14,36238,37617,1,141.6319,58.2912,58.3359,3.1429,11.59,9.27,1382,1489,1,21.78,14,41,0,0.112,,11.152,,11.42,18.51,1.19
36240,ESO266-015,175.2320,-44.4809,289.9021,16.5997,158.6362,-24.0726,4.2,12.32,9.85,10.52,3171,2875,49.66,18,36240,36240,3,289.9001,16.5962,158.6394,-24.0754,9.71,10.58,3110,2813,1,49.66,18,91,13,0.245,0.167,12.173,10.423,-42.30,16.55,-20.29
36243,NGC3810,175.2449,11.4712,252.9407,67.2202,99.9276,-14.2202,5.2,10.79,8.03,10.19,990,868,15.92,14,36243,41220,4,252.8397,67.2216,99.8908,-14.2362,7.96,10.22,951,830,1,15.92,14,69,38,0.187,0.213,11.816,11.446,-2.66,15.20,-3.91
36252,PGC036252,175.2792,32.4274,189.5306,73.8714,80.1251,-6.4480,7.5,15.37,14.13,8.38,1735,1720,0.00,0,36252,36252,3,189.7032,73.9402,80.2055,-6.4229,13.10,8.79,1728,1713,0,0.00,0,34,1,0.092,0.045,10.899,7.839,3.89,22.37,-2.57
36265,NGC3811,175.3194,47.6908,151.9635,65.2901,66.1376,-0.2683,5.8,12.62,9.88,10.62,3105,3170,63.97,18,36265,36265,2,151.9635,65.2902,66.1376,-0.2683,9.87,10.62,3132,3197,1,63.97,18,94,29,0.255,0.005,12.223,9.615,25.86,58.47,-0.30
36266,NGC3813,175.3277,36.5467,176.1901,72.4223,76.3429,-4.7739,3.3,11.82,8.95,10.30,1465,1472,21.48,14,36266,37617,2,176.1919,72.4235,76.3441,-4.7736,8.94,10.31,1438,1445,1,21.48,14,73,28,0.199,0.118,11.896,10.938,5.05,20.80,-1.79
36272,PGC036272,175.3416,46.3931,154.0047,66.2821,67.3292,-0.7829,9.0,15.47,13.88,7.86,815,873,0.00,0,36188,36188,7,154.7819,66.2285,67.3754,-1.0970,9.95,9.44,789,846,0,0.00,0,45,67,0.121,0.072,11.250,11.470,4.36,10.44,-0.15
36274,PGC036274,175.3450,-6.4795,273.6156,52.3588,117.8889,-19.4276,9.0,12.83,11.52,9.33,1728,1527,0.00,0,36304,36304,6,273.5458,52.6907,117.5922,-19.2444,8.68,10.47,1742,1543,1,36.31,11,83,96,0.224,0.223,12.053,12.272,-16.01,30.25,-12.07
36279,PGC036279,175.3744,32.3499,189.7288,73.9687,80.2287,-6.4047,7.5,15.23,14.17,8.36,1715,1700,0.00,0,36252,36252,3,189.7032,73.9402,80.2055,-6.4229,13.10,8.79,1728,1713,0,0.00,0,34,1,0.092,0.045,10.899,7.839,3.85,22.35,-2.55
36291,PGC036291,175.4403,-1.9012,270.1376,56.4681,113.2477,-18.1376,9.0,16.53,13.77,8.47,1805,1624,0.00,0,36291,36291,1,270.1376,56.4681,113.2477,-18.1376,13.77,8.47,1805,1624,0,0.00,0,30,0,0.082,,10.743,,-8.12,18.91,-6.74
36294,UGC06653,175.4155,15.9657,243.9696,70.3442,95.6490,-12.5167,0.1,14.12,10.45,10.38,3224,3124,0.00,0,36197,36200,6,244.5534,69.9026,95.9773,-12.8797,8.78,11.05,3254,3153,0,0.00,0,137,28,0.370,0.523,12.708,11.588,-4.03,40.80,-9.10
36295,UGC06655,175.4608,15.9736,244.0301,70.3837,95.6571,-12.4731,-1.0,14.79,12.05,8.35,739,640,0.00,0,36295,41220,1,244.0301,70.3837,95.6571,-12.4731,12.05,8.35,739,640,0,0.00,0,29,0,0.078,,10.682,,-0.82,8.29,-1.84
36304,NGC3818,175.4890,-6.1556,273.5936,52.7127,117.5945,-19.2081,-4.6,12.53,8.95,10.36,1671,1472,36.31,11,36304,36304,6,273.5458,52.6907,117.5922,-19.2444,8.68,10.47,1742,1543,1,36.31,11,83,96,0.224,0.223,12.053,12.272,-15.88,30.39,-11.95
36305,UGC06658,175.5110,32.0003,190.8630,74.1652,80.5979,-6.4357,4.1,14.42,12.59,8.85,1467,1450,0.00,0,36305,41220,1,190.8630,74.1652,80.5979,-6.4357,12.59,8.85,1467,1450,0,0.00,0,35,0,0.095,,10.929,,3.14,18.95,-2.17
36315,ESO571-016,175.5379,-18.1689,280.6716,41.6885,130.1350,-21.7371,4.0,13.59,10.50,10.43,3637,3395,49.20,18,36315,36315,2,280.6618,41.6840,130.1351,-21.7456,10.42,10.46,3677,3435,1,49.20,18,82,42,0.224,0.118,12.049,11.281,-29.43,34.90,-18.20
36342,UGC06666,175.5855,16.0107,244.1607,70.5012,95.6647,-12.3479,10.0,13.76,11.39,10.00,3076,2977,0.00,0,36197,36200,6,244.5534,69.9026,95.9773,-12.8797,8.78,11.05,3254,3153,0,0.00,0,137,28,0.370,0.523,12.708,11.588,-4.03,40.64,-8.94
36343,UGC06667,175.6095,51.5979,146.2692,62.2902,62.6419,1.4876,5.9,13.37,11.66,8.95,974,1059,18.28,14,36343,37617,1,146.2692,62.2902,62.6419,1.4876,11.66,8.95,974,1059,1,18.28,14,36,0,0.098,,10.979,,8.40,16.23,0.47
