pgc,Name,RA,DE,GLong,GLat,SGL,SGB,Ty,B_t,K_t,lgL_K,Vhel,Vls,D_i,eDi,PGC1,PGC1+,Ng,gGLong,gGLat,gSGL,gSGB,gK_t,glgL_K,gVh,gVls,gND,gD,geD,gsigL,gsigV,gR2t,gRdyn,gMassL,gMassdyn,SGX,SGY,SGZ
65915,IC5071,315.3321,-72.6429,320.8923,-35.2937,215.4387,-0.7885,4.7,11.82,9.58,10.66,3082,2907,0.00,0,65915,65915,1,320.8923,-35.2937,215.4387,-0.7885,9.58,10.66,3082,2907,0,0.00,0,97,0,0.263,,12.262,,-31.58,-22.47,-0.53
65958,ESO598-017,315.6284,-19.4644,28.3262,-37.3094,249.2555,42.8867,6.4,15.47,13.13,9.12,2425,2531,0.00,0,65958,65958,1,28.3262,-37.3094,249.2555,42.8867,13.13,9.12,2425,2531,0,0.00,0,39,0,0.105,,11.064,,-8.76,-23.12,22.97
65960,IC5078,315.6300,-16.8181,31.4197,-36.3741,251.8429,44.7629,5.0,11.97,9.91,9.97,1413,1533,19.86,14,65960,65960,1,31.4197,-36.3741,251.8429,44.7629,9.91,9.97,1413,1533,1,19.86,14,59,0,0.160,,11.612,,-4.40,-13.40,13.98
66000,ESO107-004,315.8733,-67.1814,327.1204,-37.4702,218.3766,3.8203,-4.2,12.67,9.22,10.81,3089,2940,24.77,23,66000,66000,1,327.1204,-37.4702,218.3766,3.8203,9.22,10.81,3089,2940,1,24.77,23,111,0,0.301,,12.439,,-19.38,-15.34,1.65
66003,NGC7013,315.8899,29.8973,75.1343,-11.1440,327.8134,57.3131,0.5,11.12,7.70,10.55,779,1075,0.00,0,66003,66003,1,75.1343,-11.1440,327.8134,57.3131,7.70,10.55,779,1075,0,0.00,0,88,0,0.239,,12.137,,6.55,-4.12,12.06
66004,ESO341-032,315.8890,-39.4465,2.9490,-41.6302,233.9615,27.2237,9.0,13.46,11.53,9.83,2747,2745,0.00,0,66004,65436,1,2.9490,-41.6302,233.9615,27.2237,11.53,9.83,2747,2745,0,0.00,0,54,0,0.147,,11.508,,-19.15,-26.32,16.74
66055,ESO235-051,316.2534,-51.9484,346.2296,-41.3754,226.6770,16.6919,-1.2,14.22,10.88,9.90,2295,2225,0.00,0,66055,66055,1,346.2296,-41.3754,226.6770,16.6919,10.88,9.90,2295,2225,0,0.00,0,57,0,0.154,,11.565,,-19.50,-20.67,8.52
66063,UGC11678,316.2807,66.7730,103.1841,13.0444,11.5083,34.6736,0.0,12.47,8.61,11.01,2502,2807,0.00,0,66063,66063,1,103.1841,13.0444,11.5083,34.6736,8.61,11.01,2502,2807,0,0.00,0,133,0,0.360,,12.670,,30.16,6.14,21.29
66069,NGC7007,316.3662,-52.5519,345.4206,-41.3564,226.3979,16.1466,-2.9,12.73,9.06,10.87,3001,2928,22.91,23,66069,66069,1,345.4206,-41.3564,226.3979,16.1466,9.06,10.87,3001,2928,1,22.91,23,117,0,0.317,,12.508,,-15.18,-15.93,6.37
66078,ESO286-044,316.4112,-42.7813,358.4874,-42.1230,232.1990,24.2646,-0.8,14.22,11.06,9.87,2346,2326,0.00,0,66078,66078,1,358.4874,-42.1230,232.1990,24.2646,11.06,9.87,2346,2326,0,0.00,0,56,0,0.151,,11.539,,-17.33,-22.34,12.74
